id,title,description,Price,image_link,availability,link
40,Long Distance Care Package Stickers - US Map,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2072522016_e7op.jpg?v=1636425981,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-us-map
41,Birthday Care Package Stickers - Pink,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3473678241_ssyl.jpg?v=1636321669,in stock,https://stickersforcarepackage.com/collections/birthday/products/birthday-care-package-stickers-2
42,Birthday Care Package Stickers - Party Hat,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2215194484_thch.jpg?v=1635465537,in stock,https://stickersforcarepackage.com/collections/birthday/products/birthday-care-package-stickers-1
43,Birthday Care Package Stickers - Blue,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3464866301_hinn.jpg?v=1636321503,in stock,https://stickersforcarepackage.com/collections/birthday/products/birthday-care-package-stickers
44,21st Birthday Care Package Stickers - Finally,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2260942654_q2gi.jpg?v=1636320970,in stock,https://stickersforcarepackage.com/collections/birthday/products/21st-birthday-care-package-stickers-1
45,21st Birthday Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3465203063_d0ij.jpg?v=1636320933,in stock,https://stickersforcarepackage.com/collections/birthday/products/21st-birthday-care-package-stickers
46,21st Birthday Care Package Stickers - Pink,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.3464849897_jcbh.jpg?v=1636320908,in stock,https://stickersforcarepackage.com/collections/birthday/products/valentines-day-care-package-stickers-8
47,Valentine's Day Care Package Stickers- Kiss,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/val.png?v=1636511723,in stock,https://stickersforcarepackage.com/collections/valentines-day-care-packages/products/valentines-day-care-package-stickers-7
48,Valentine's Day Care Package Stickers- Pink & Grey,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/valentines.png?v=1636511263,in stock,https://stickersforcarepackage.com/collections/valentines-day-care-packages/products/valentines-day-care-package-stickers-6
49,Valentine's Day Care Package Stickers- Stripe,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2139467816_tj26.jpg?v=1636511427,in stock,https://stickersforcarepackage.com/collections/valentines-day-care-packages/products/valentines-day-care-package-stickers-5
